Episode	EpReward	EpSteps	EpDist	DistHigh	AverageStepReward	StdStepReward	MaxStepReward	MinStepReward	AverageDeltaProg	StdDeltaProg	MaxDeltaProg	MinDeltaProg	TotalSteps	EpTime	TotalTime
88	-99.9999999999986	1000	1.074037	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.0010716831	0.17319314	1.1584797	-1.736221	84051	15.180343627929688	1283.8982961177826
89	-99.9999999999986	1000	0.010238019	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	7.105723e-06	0.16539817	2.8674536	-1.112288	85051	15.026023626327515	1298.9253346920013
90	-99.9999999999986	1000	0.13650703	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.00013405013	0.3963233	9.296615	-1.393458	86051	16.767438411712646	1315.6937727928162
91	-99.9999999999986	1000	3.160768	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.0031552757	0.2781376	3.6025336	-1.7940422	87051	15.315659046173096	1331.0104320049286
92	-99.9999999999986	1000	0.016805856	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.2936473e-05	0.4131827	9.373623	-2.1690373	88051	17.254643440246582	1348.2660744190216
93	-99.9999999999986	1000	0.023068354	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.8752158e-05	0.39901438	9.366397	-3.085456	89051	16.23747730255127	1364.5045523643494
94	-99.9999999999986	1000	0.004304016	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.7718672e-06	0.24323077	2.5444884	-2.079678	90051	15.705200433731079	1380.2107517719269
95	-99.9999999999986	1000	0.013935975	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.1429548e-05	0.52910036	9.648054	-10.190623	91051	17.078954935073853	1397.2907111644745
96	-99.9999999999986	1000	1.5129527	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.001510443	0.49137414	9.743356	-7.2633896	92051	16.12452507019043	1413.4162406921387
97	-99.9999999999986	1000	1.3622047	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.0013618347	0.28678468	3.5528083	-2.9056916	93051	15.20647644996643	1428.6237168312073
98	-99.9999999999986	1000	0.6195629	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.0006169986	0.44692123	9.746625	-5.4577603	94051	17.085453510284424	1445.7101695537567
99	-99.9999999999986	1000	2.0298254	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.0020247197	0.27607277	3.8716326	-1.6136416	95051	15.623907327651978	1461.3350760936737
100	-99.9999999999986	1000	3.2646928	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.0032621778	0.19847204	2.7425423	-1.182317	96051	15.463554859161377	1476.7996308803558
101	-99.9999999999986	1000	0.1691153	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.00016597087	0.47281405	9.471404	-1.993638	97051	16.496668815612793	1493.2972989082336
102	-99.9999999999986	1000	0.11598395	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.00011347437	0.4866059	9.369226	-5.857176	98051	16.820332765579224	1510.1186308860779
103	-99.9999999999986	1000	0.018471505	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.329422e-05	0.22691219	3.378936	-1.2024035	99051	15.200066089630127	1525.3196971416473
104	-99.9999999999986	1000	0.02021258	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.6269647e-05	0.06825302	0.58962405	-0.35262358	100051	15.6123628616333	1540.9330599308014
105	-99.9999999999986	1000	0.018055785	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.4766991e-05	0.064050585	0.4639048	-0.36669946	101051	16.615121126174927	1557.5496883392334
106	-99.9999999999986	1000	0.0016624342	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	-8.134544e-08	0.26771647	4.1430216	-1.1986377	102051	15.514040470123291	1573.0647277832031
107	-99.9999999999986	1000	2.5103397	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.002385925	0.19160914	2.5927489	-1.3717992	103051	15.680448532104492	1588.746181488037
108	-99.9999999999986	1000	0.0031966167	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	2.4215356e-06	0.06569326	0.35314476	-0.28965864	104051	16.11446213722229	1604.861643075943
109	-99.9999999999986	1000	0.004707557	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	3.3644437e-06	0.30748808	4.255575	-1.3323896	105051	15.340068340301514	1620.2027115821838
110	-99.9999999999986	1000	0.006280995	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	3.701806e-06	0.4262888	9.5550785	-1.094533	106051	16.635433197021484	1636.8391454219818
111	-99.9999999999986	1000	0.015140193	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.1317946e-05	0.1981987	3.9430008	-1.181042	107051	16.11153507232666	1652.951675415039
112	-99.9999999999986	1000	0.0074760416	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	3.7893058e-06	0.23615555	2.8323598	-3.5745492	108051	15.704933643341064	1668.6576097011566
113	-99.9999999999986	1000	0.014794218	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.1772506e-05	0.2341718	5.372397	-1.2661643	109051	15.831422090530396	1684.4900381565094
114	-99.9999999999986	1000	0.015188663	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.2912571e-05	0.063163005	0.46831763	-0.36087495	110051	15.272397756576538	1699.7644352912903
115	-99.9999999999986	1000	0.0069827256	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	3.0490382e-06	0.19957179	2.6655145	-1.0362278	111051	15.816118717193604	1715.5815529823303
116	-99.9999999999986	1000	0.6109084	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.00058768725	0.2598188	3.6124985	-4.3488426	112051	15.960962057113647	1731.5435147285461
117	-99.9999999999986	1000	0.0138714	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.2628988e-05	0.0659491	0.46853346	-0.29193664	113051	15.670343399047852	1747.2148597240448
118	-99.9999999999986	1000	0.006711577	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	5.091898e-06	0.063124016	0.46761772	-0.3803462	114051	16.102118492126465	1763.3179788589478
119	-99.9999999999986	1000	2.2358763	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.002232348	0.09013497	2.1202812	-0.23336348	115051	15.463200092315674	1778.782178401947
120	-99.9999999999986	1000	3.90899	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.0039077136	0.24953592	3.7892706	-1.1274384	116051	15.429550647735596	1794.2127289772034
121	-99.9999999999986	1000	0.0058111236	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	3.4729392e-06	0.06234805	0.43264195	-0.3485044	117051	16.124314785003662	1810.3390440940857
122	-99.9999999999986	1000	0.0074553806	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	3.1768084e-06	0.20620419	2.6228137	-0.9913481	118051	15.206419467926025	1825.546464920044
123	-99.9999999999986	1000	0.0036776818	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	-1.6373396e-07	0.36349726	4.302062	-4.4582124	119051	15.389796257019043	1840.938260793686
124	-99.9999999999986	1000	0.01983199	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.7067343e-05	0.27606344	3.5390825	-2.7284799	120051	16.119986057281494	1857.0592477321625
125	-99.9999999999986	1000	0.008535112	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	5.680084e-06	0.319982	4.3654356	-1.568884	121051	15.379449844360352	1872.4396970272064
